Lens name,zl,zs,thetaE,thetaeff,thetaap,sigma_ap,dsigma_ap,delta,Survey name
SDSSJ0955+3014,0.3214,0.4671,0.54,2.95,1.5,271,33,2.0682,S4TM
SDSSJ0956+5539,0.1959,0.8483,1.17,1.96,1.5,188,11,2.1924,S4TM
SDSSJ1010+3124,0.1668,0.4245,1.14,3.26,1.5,221,11,2.0978,S4TM
SDSSJ1041+0112,0.1006,0.2172,0.6,2.5,1.5,200,7,2.0946,S4TM
SDSSJ1048+1313,0.133,0.6679,1.18,1.9,1.5,195,10,2.194,S4TM
SDSSJ1051+4439,0.1634,0.538,0.99,1.66,1.5,216,16,2.2578,S4TM
SDSSJ1056+4141,0.1343,0.8318,0.72,1.81,1.5,157,10,1.996,S4TM
SDSSJ1101+1523,0.178,0.5169,1.18,0.89,1.5,270,15,2.1779,S4TM
SDSSJ1116+0729,0.1697,0.686,0.82,2.44,1.5,190,11,2.1707,S4TM
SDSSJ1127+2312,0.1303,0.361,1.25,2.69,1.5,230,9,2.1826,S4TM
SDSSJ1137+1818,0.1241,0.4627,1.29,1.79,1.5,222,8,2.166,S4TM
SDSSJ1142+2509,0.164,0.6595,0.79,1.51,1.5,159,10,2.1393,S4TM
SDSSJ1144+0436,0.1036,0.2551,0.76,1.22,1.5,207,14,2.2612,S4TM
SDSSJ1213+2930,0.0906,0.5954,1.35,1.73,1.5,232,7,2.1345,S4TM
SDSSJ1301+0834,0.0902,0.5331,1,1.25,1.5,178,8,2.2195,S4TM
SDSSJ1330+1750,0.2074,0.3717,1.01,2.85,1.5,250,12,2.0408,S4TM
SDSSJ1403+3309,0.0625,0.772,1.02,2,1.5,190,6,2.2126,S4TM
SDSSJ1430+6104,0.1688,0.6537,1,2.24,1.5,180,15,2.1899,S4TM
SDSSJ1433+2835,0.0912,0.4115,1.53,3.23,1.5,230,6,2.1494,S4TM
SDSSJ1541+3642,0.1406,0.7389,1.17,1.55,1.5,194,11,2.1638,S4TM
SDSSJ1543+2202,0.2681,0.3966,0.78,2.32,1.5,285,16,2.0794,S4TM
SDSSJ1550+2020,0.1351,0.3501,1.01,1.68,1.5,243,9,2.2222,S4TM
SDSSJ1553+3004,0.1604,0.5663,0.84,2.15,1.5,194,15,2.2283,S4TM
SDSSJ1607+2147,0.2089,0.4865,0.57,2.63,1.5,197,16,2.2568,S4TM
SDSSJ1633+1441,0.1281,0.5804,1.39,2.39,1.5,231,9,2.208,S4TM
SDSSJ2309-0039,0.2905,1.0048,1.14,2.08,1.5,184,13,2.1382,S4TM
SDSSJ2324+0105,0.1899,0.2775,0.59,1.1,1.5,245,15,2.2404,S4TM
SDSSJ0801+4727,0.483,1.518,0.49,0.5,1,98,24,2.2364,BELLS
SDSSJ1234-0241,0.49,1.016,0.53,1.05,1,122,31,2.3358,BELLS
SDSSJ1352+3216,0.463,1.034,1.82,0.58,1,161,21,2.2328,BELLS
SDSSJ1159-0007,0.579,1.346,0.68,0.96,1,165,41,2.198,BELLS
SDSSJ1318-0104,0.659,1.396,0.68,0.69,1,177,27,2.3084,BELLS
SDSSJ1349+3612,0.44,0.893,0.75,1.89,1,178,18,2.1269,BELLS
SDSSJ1221+3806,0.535,1.284,0.7,0.47,1,187,48,2.3107,BELLS
SDSSJ0944-0147,0.539,1.179,0.73,0.48,1,204,34,2.2784,BELLS
SDSSJ1601+2138,0.544,1.446,0.86,0.44,1,207,36,2.3259,BELLS
SDSSJ1542+1629,0.352,1.023,1.04,0.73,1,210,16,2.2268,BELLS
SDSSJ0151+0049,0.517,1.364,0.68,0.67,1,219,39,2.2182,BELLS
SDSSJ1337+3620,0.564,1.182,1.39,2.03,1,225,35,2.12,BELLS
SDSSJ2125+0411,0.363,0.978,1.2,0.9,1,247,17,2.2281,BELLS
SDSSJ1545+2748,0.522,1.289,1.21,2.59,1,250,37,2.05,BELLS
SDSSJ1215+0047,0.642,1.297,1.37,0.65,1,262,45,2.2424,BELLS
SDSSJ0830+5116,0.53,1.332,1.14,0.97,1,268,36,2.1787,BELLS
SDSSJ1631+1854,0.408,1.086,1.63,1.43,1,272,14,2.1707,BELLS
SDSSJ2303+0037,0.458,0.936,1.02,1.35,1,274,31,2.1499,BELLS
SDSSJ0747+4448,0.437,0.897,0.61,0.92,1,281,52,2.2692,BELLS
SDSSJ2122+0409,0.626,1.452,1.58,0.9,1,324,56,2.2174,BELLS
SDSSJ0747+5055,0.438,0.898,0.75,1.09,1,328,60,2.1697,BELLS
SDSSJ0029+2544,0.5869,2.4504,1.34,0.49,1,241,45,2.0862,BELLS GALLERY
SDSSJ0201+3228,0.3957,2.8209,1.7,2.32,1,256,20,2.0944,BELLS GALLERY
SDSSJ0237-0641,0.4859,2.2491,0.65,1.05,1,290,89,2.2446,BELLS GALLERY
SDSSJ0742+3341,0.4936,2.3633,1.22,0.89,1,218,28,2.2074,BELLS GALLERY
